Latitude,Longitude
33.44699804,-112.0980771
33.44717333,-112.0987933
33.44709394,-112.0850842
33.4467,-112.08973999999999
33.44705,-112.0904733
33.44703,-112.08767830000001
33.44883,-112.09884
33.44698818,-112.10026940000002
33.44699466,-112.0953717
33.44699,-112.1016783
33.44699,-112.1016783
33.44921433,-112.09794409999999
33.44698818,-112.10026940000002
33.44921433,-112.09794409999999
33.44840167,-112.0836217
33.44713333,-112.08789329999999
33.44713333,-112.08789329999999
33.44713333,-112.08789329999999
33.44704529,-112.0910605
33.44710892,-112.0827338
33.44741667,-112.0989567
33.44601,-112.09271329999999
33.44830167,-112.08388500000001
33.44684333,-112.0847967
33.44737667,-112.09685
33.44701019,-112.09393349999999
33.44701164,-112.0938312
33.446020000000004,-112.0941367
33.44692,-112.098845
33.44599167,-112.1004833
33.447390000000006,-112.08859170000001
33.44699762,-112.09867479999998
33.44782833,-112.08816000000002
33.44921667,-112.1005
33.44699404,-112.0973223
33.44439667,-112.1005067
33.44439667,-112.1005067
33.44711833,-112.08211499999999
33.44699514,-112.0976854
33.44975667,-112.096175
33.44819377,-112.08571040000001
33.44821403,-112.0835648
33.44874167,-112.09573329999999
33.446884999999995,-112.09610500000001
33.44688833,-112.0915433
33.44696235,-112.10693899999998
33.45098,-112.0819017
33.44691773,-112.10225590000002
33.447055,-112.098395
33.448645,-112.0881
33.44699184,-112.09998329999999
33.44821139,-112.0836658
33.44812667,-112.101905
33.445015000000005,-112.10039499999999
33.44821139,-112.0836658
33.44816833,-112.0867967
33.44808167,-112.0848433
33.448454999999996,-112.08493
33.44763167,-112.0840217
33.449203600000004,-112.09995390000002
33.44921422,-112.0972347
33.44821019,-112.08379209999998
33.450045,-112.09818329999999
33.449557,-112.09579199999999
33.4472033,-112.09966999999999
33.44733167,-112.0880433
33.44811167,-112.0837317
33.447305,-112.09136170000001
33.44582333,-112.1005433
33.44874,-112.0987533
33.44821139,-112.0836658
33.44701333,-112.0856983
33.44742833,-112.08283670000002
33.446979999999996,-112.0955567
33.44732,-112.08817169999999
33.447065,-112.0875233
33.447359999999996,-112.0886267
33.44815,-112.08334669999999
33.448945,-112.09501670000002
33.448025,-112.08816670000002
33.44893167,-112.0970967
33.44705,-112.09970829999999
33.44704071,-112.09142250000001
33.447585,-112.0848483
33.44896,-112.09486000000001
33.44722333,-112.08811000000001
33.44775833,-112.0837433
33.44748833,-112.090345
33.44727167,-112.08585500000001
33.44672,-112.09933000000001
33.44730667,-112.08873500000001
33.44683333,-112.0859217
33.447309999999995,-112.09033500000001
33.44897667,-112.1006683
33.450325,-112.0981767
33.44690167,-112.088145
33.44675833,-112.08704329999999
33.447195,-112.100895
33.44942667,-112.1022817
33.44898167,-112.1022517
33.44917667,-112.10130670000001
33.44710754,-112.082532
33.44746833,-112.09035829999999
33.44699014,-112.0957244
33.44640167,-112.0956267
33.44795833,-112.0881233
33.44715667,-112.08754170000002
33.449465000000004,-112.09817
33.44736667,-112.09163999999998
33.44823833,-112.0832183
33.44744333,-112.0885233
33.44920281,-112.1001148
33.44696667,-112.0924267
33.44738667,-112.08811499999999
33.44921437,-112.09821059999999
33.44734167,-112.089785
33.44816932,-112.08862679999999
33.44842167,-112.0837317
33.448135,-112.085255
33.4491705,-112.1046804
33.447175,-112.08520829999999
33.44816497,-112.0914241
33.44852667,-112.08501000000001
33.44867167,-112.0986517
33.44701571,-112.09354520000001
33.44853,-112.0853267
33.447334999999995,-112.0880717
33.44774833,-112.0837317
33.44711167,-112.08794329999999
33.447070000000004,-112.08811899999999
33.44928833,-112.094995
33.448904999999996,-112.0839467
33.44713167,-112.0870817
33.44795167,-112.08376000000001
33.44921833,-112.0987717
33.44699238,-112.0998813
33.44812833,-112.0852233
33.44719167,-112.08652
33.44704071,-112.09142250000001
33.44868333,-112.08363500000002
33.44671167,-112.08363829999999
33.447309999999995,-112.09451170000001
33.44845667,-112.08369669999999
33.44704071,-112.09142250000001
33.44798833,-112.08371000000001
33.44719333,-112.10089170000002
33.44978833,-112.09835829999999
33.44857667,-112.0837233
33.44890333,-112.09714
33.44695667,-112.08641170000001
33.44827833,-112.08386499999999
33.448165,-112.08323670000001
33.44710754,-112.082532
33.44731667,-112.09031499999999
33.44798333,-112.083725
33.44704071,-112.09142250000001
33.44858333,-112.093075
33.44780167,-112.09044329999999
33.44704702,-112.090924
